,id,region,profit,cost
0,68,Australia,0.15,921841.95
0,69,Russia,0.97,698349.11
0,70,India,0.37,486006.91
0,71,US,0.56,538817.05
0,72,Australia,0.57,566770.46
0,73,Canada,0.16,259524.9
0,74,Russia,0.5,984589.91
0,75,India,0.65,357078.9
0,76,Sweden,0.69,865118.0
0,77,Sweden,0.49,471847.28
0,78,India,0.41,109157.71
0,79,SriLanka,0.95,524822.8
0,80,SriLanka,0.08,794283.48
0,81,US,0.41,700861.02
0,82,Canada,0.09,325491.23
0,83,Brazil,0.16,669596.28
0,84,SriLanka,0.04,424658.65
0,85,Singapore,0.49,667163.83
0,86,Sweden,0.77,313616.81
0,87,Singapore,0.47,537935.43
0,88,Russia,0.04,424516.63
0,89,India,0.49,728342.35
0,90,Singapore,0.68,848894.58
0,91,Singapore,0.39,959058.21
0,92,UK,0.55,387073.13
0,93,Brazil,0.74,316317.04
0,94,Australia,0.34,702382.22
0,95,UK,0.56,570764.06
0,96,US,0.5,656411.01
0,97,Sweden,0.39,370175.41
0,98,Australia,0.75,795825.59
0,99,US,0.3,509841.6
0,100,India,0.56,952193.51
0,101,UK,0.24,137940.62
0,102,India,0.51,480559.81
0,103,UK,0.31,886820.56
0,104,Russia,0.82,364541.19
0,105,Australia,0.47,366952.21
0,106,SriLanka,0.69,701765.76
0,107,US,0.79,886726.66
0,108,Canada,0.9,806887.15
0,109,SriLanka,0.9,502791.1
0,110,US,0.02,495707.59
0,111,Australia,0.76,438076.54
0,112,SriLanka,0.95,455107.37
0,113,UK,0.13,494793.24
0,114,Canada,0.33,379386.54
0,115,Brazil,0.93,245579.8
0,116,Canada,0.86,730774.52
0,117,Singapore,0.73,686286.69
0,118,UK,0.9,442341.35
0,119,India,0.76,547653.77
0,120,SriLanka,0.7,253794.54
0,121,Canada,0.45,956613.12
0,122,Singapore,0.84,455978.82
0,123,Singapore,0.08,432696.87
0,124,Canada,0.96,724423.85
0,125,India,0.28,481259.42
0,126,India,0.89,524320.74
0,127,Australia,0.65,285858.66
0,128,UK,0.76,365128.05
0,129,US,0.85,962903.97
0,130,Australia,0.95,958033.78
0,131,SriLanka,0.07,437004.76
0,132,Australia,0.33,766011.08
0,133,UK,0.58,614989.76
0,134,UK,0.26,759530.13
0,135,SriLanka,0.37,298008.9
0,136,Sweden,0.34,817629.94
0,137,Canada,0.67,417989.33
0,138,Brazil,0.96,159572.64
0,139,Canada,0.33,937901.82
0,140,Singapore,0.46,112026.83
0,141,US,0.13,494857.47
0,142,Singapore,0.38,934281.52
0,143,Singapore,0.66,901232.03
0,144,UK,0.3,241616.05
0,145,Sweden,0.05,321875.51
0,146,Brazil,0.87,934597.12
0,147,UK,0.79,173023.84
0,148,Brazil,0.17,281072.88
0,149,Canada,0.78,954841.51
0,150,India,0.83,284701.98
0,151,India,0.08,257949.12
0,152,SriLanka,0.91,828619.76
0,153,Singapore,0.19,610472.1
0,154,Canada,0.44,651249.96
0,155,SriLanka,0.34,522833.46
0,156,Russia,0.49,601922.48
0,157,Australia,0.42,125185.67
0,158,Brazil,0.51,273363.97
0,159,SriLanka,0.53,515394.59
0,160,Australia,0.05,710690.15
0,161,Sweden,0.5,274430.52
0,162,Sweden,0.02,946504.35
0,163,Sweden,0.69,833258.35
0,164,India,0.15,964016.21
0,165,India,0.47,549882.8
0,166,SriLanka,0.77,557477.7
0,167,Brazil,0.14,504076.47
0,168,Russia,0.77,653059.28
0,169,Sweden,0.15,707518.5
0,170,Russia,0.85,321441.97
0,171,SriLanka,0.59,150594.64
0,172,Canada,0.9,402252.34
0,173,UK,0.51,682066.79
0,174,Canada,0.47,489503.82
0,175,Brazil,0.08,219020.13
0,176,Sweden,0.33,248706.12
0,177,Australia,0.63,974003.08
0,178,SriLanka,0.4,683407.87
0,179,US,0.39,546575.61
0,180,SriLanka,0.12,752972.45
0,181,US,0.81,519814.22
0,182,Canada,0.67,379909.68
0,183,Russia,0.63,159248.65
0,184,US,0.42,868196.83
0,185,Sweden,0.04,117628.9
0,186,Russia,0.57,971299.87
0,187,US,0.8,966710.07
0,188,Singapore,0.03,798189.16
0,189,Brazil,0.58,892621.61
0,190,SriLanka,0.51,662409.41
0,191,India,0.8,434120.17
0,192,India,0.66,681848.75
0,193,Canada,0.14,781069.52
0,194,Canada,0.84,376678.09
0,195,Sweden,0.09,435731.75
0,196,SriLanka,0.51,713688.95
0,197,UK,0.01,148462.04
0,198,Singapore,0.87,102529.4
0,199,Australia,0.23,266334.85
0,200,Russia,0.02,493596.77
0,201,Australia,0.39,650108.31
0,202,Brazil,0.62,649390.02
0,203,Sweden,0.52,413529.15
0,204,India,0.93,176590.56
0,205,US,0.13,823252.31
0,206,US,0.35,554407.25
0,207,India,0.28,929281.7
0,208,Australia,0.62,858365.4
0,209,Canada,0.25,318268.75
0,210,Singapore,0.09,567404.87
0,211,Sweden,0.3,269035.91
0,212,Singapore,0.41,350611.89
0,213,Australia,0.28,476662.12
0,214,Singapore,0.41,605934.82
0,215,Singapore,0.85,457274.55
0,216,Russia,0.85,428179.6
0,217,Russia,0.48,796996.85
0,218,US,0.4,600794.95
0,219,US,0.46,291626.87
0,220,US,0.68,136778.23
0,221,SriLanka,0.53,225908.19
0,222,US,0.83,661905.38
0,223,India,0.17,585060.85
0,224,UK,0.91,934583.93
0,225,Sweden,0.75,768813.71
0,226,Canada,0.41,478108.46
0,227,Australia,0.18,333800.6
0,228,Singapore,0.68,408623.46
0,229,US,0.13,978062.6
0,230,Russia,0.11,800906.94
0,231,Singapore,0.6,853120.34
0,232,US,0.67,757573.84
0,233,Sweden,0.38,834682.21
0,234,Singapore,0.13,218711.29
0,235,UK,0.88,373718.61
0,236,Australia,0.51,486080.42
0,237,Australia,0.95,380990.94
0,238,SriLanka,0.36,927143.3
0,239,Russia,0.58,863174.32
0,240,Australia,0.74,871842.54
0,241,US,0.57,993455.52
0,242,SriLanka,0.48,284273.56
0,243,Russia,0.61,334484.45
0,244,Brazil,0.07,978687.94
0,245,Sweden,0.24,739117.03
0,246,Singapore,0.81,807575.42
0,247,US,0.08,761383.25
0,248,US,0.96,919502.42
0,249,India,0.43,865629.93
0,250,Brazil,0.46,784918.54
0,251,Sweden,0.65,624985.74
0,252,Canada,0.22,500542.86
0,253,Sweden,0.95,192511.84
0,254,Singapore,0.3,325283.57
0,255,UK,0.02,609773.15
0,256,Singapore,0.11,882557.95
0,257,US,0.18,809706.99
0,258,India,0.36,213533.84
0,259,India,0.43,485204.68
0,260,Brazil,0.91,314885.47
0,261,Russia,0.76,516870.4
0,262,Australia,0.94,524684.89
0,263,US,0.35,807347.99
0,264,India,0.47,917468.78
0,265,SriLanka,0.95,301696.83
0,266,SriLanka,0.89,688082.08
0,267,Brazil,0.66,569329.72
0,268,India,0.31,624195.71
0,269,India,0.3,786818.27
0,270,Canada,0.24,762930.51
0,271,UK,0.46,775425.95
0,272,Sweden,0.62,194659.69
0,273,US,0.98,371723.73
0,274,Singapore,0.74,529696.31
0,275,US,0.96,304710.43
0,276,Russia,0.06,604380.35
0,277,UK,0.96,329635.59
0,278,Russia,0.55,895475.4
0,279,Singapore,0.77,553138.32
0,280,SriLanka,0.52,221720.05
0,281,SriLanka,0.89,551881.01
0,282,Canada,0.2,827306.21
0,283,UK,0.28,875312.55
0,284,Brazil,0.96,771315.81
0,285,Singapore,0.75,902517.35
0,286,Australia,0.36,203259.78
0,287,Sweden,0.72,947179.79
0,288,Sweden,0.99,339763.13
0,289,SriLanka,0.0,962563.33
0,290,US,0.05,411570.03
0,291,Canada,0.06,440394.87
0,292,SriLanka,0.04,382901.89
0,293,Australia,0.32,660339.69
0,294,Australia,0.55,813876.53
0,295,Canada,0.66,194707.14
0,296,Singapore,0.94,598484.92
0,297,Brazil,0.02,308607.08
0,298,Sweden,0.32,257143.36
0,299,Australia,0.83,819980.46
0,300,US,0.78,577565.88
0,301,Canada,0.67,271913.44
0,302,SriLanka,0.17,661226.05
0,303,Singapore,0.9,957419.35
0,304,Australia,0.58,899312.36
0,305,India,0.5,765478.64
0,306,Brazil,0.26,386522.51
0,307,Sweden,0.37,421900.63
0,308,Australia,0.98,508903.27
0,309,Singapore,0.78,541206.58
0,310,Sweden,0.12,491811.32
0,311,Brazil,0.36,875017.4
0,312,Sweden,0.5,491748.3
0,313,Canada,0.01,486916.42
0,314,Singapore,0.2,632547.12
0,315,Canada,0.24,142923.41
0,316,Brazil,0.75,994010.13
0,317,Singapore,0.05,434966.5
0,318,Brazil,0.12,538397.96
0,319,Singapore,0.75,668775.9
0,320,Australia,0.53,541645.47
0,321,Russia,0.61,699142.02
0,322,Singapore,0.02,421022.52
0,323,Russia,0.5,474442.25
0,324,Singapore,0.26,438514.09
0,325,Sweden,0.42,272918.31
0,326,Brazil,0.74,875509.85
0,327,Sweden,0.04,489636.58
0,328,Canada,0.52,236631.62
0,329,Russia,0.84,802839.38
0,330,Russia,0.52,784887.49
0,331,Sweden,0.69,794033.62
0,332,Australia,0.41,401900.64
0,333,Sweden,0.45,959648.99
0,334,US,0.99,462721.0
0,335,SriLanka,0.4,279700.78
0,336,SriLanka,0.07,835979.17
0,337,UK,0.03,390642.69
0,338,Sweden,0.37,935650.55
0,339,Russia,0.09,226601.67
0,340,SriLanka,0.89,552290.94
0,341,UK,0.44,477022.15
0,342,India,0.01,979339.54
0,343,India,0.66,994621.83
0,344,Australia,0.3,982724.11
0,345,Singapore,0.13,318992.18
0,346,Sweden,0.49,852950.3
0,347,Canada,0.12,889989.23
0,348,Brazil,0.19,459741.43
0,349,Australia,0.02,368799.47
0,350,US,0.74,834110.32
0,351,Singapore,0.17,910939.06
0,352,Sweden,0.88,265684.65
0,353,Singapore,0.2,271670.76
0,354,SriLanka,0.03,393032.14
0,355,Australia,0.68,448222.05
0,356,Russia,0.91,279909.12
0,357,Brazil,0.6,401054.55
0,358,Canada,0.04,197748.22
0,359,Canada,0.44,338948.54
0,360,Canada,0.84,233753.98
0,361,UK,0.02,744209.8
0,362,US,0.24,963776.11
0,363,Singapore,0.38,958566.41
0,364,Canada,0.42,617910.32
0,365,Brazil,0.41,558884.46
0,366,SriLanka,0.23,283441.24
0,367,Brazil,0.25,844605.78
0,368,Russia,0.18,858668.0
0,369,Russia,0.55,907051.51
0,370,Russia,0.24,590820.75
0,371,SriLanka,0.1,167573.91
0,372,Canada,0.07,539720.98
0,373,SriLanka,0.97,231946.84
0,374,Russia,0.14,272002.92
0,375,US,0.98,876943.95
0,376,Russia,0.02,752425.76
0,377,Singapore,0.25,919718.11
0,378,Brazil,0.24,423127.87
0,379,Singapore,0.52,248480.41
0,380,UK,0.33,496447.11
0,381,Russia,0.57,571114.67
0,382,India,0.94,464685.62
0,383,UK,0.36,651167.76
0,384,SriLanka,0.72,229931.98
0,385,Singapore,0.65,474273.15
0,386,US,0.16,219041.13
0,387,UK,0.86,465054.47
0,388,India,0.63,353560.74
0,389,UK,0.33,448971.09
0,390,Singapore,0.39,696335.26
0,391,SriLanka,0.93,867792.11
0,392,India,0.52,465949.1
0,393,SriLanka,0.59,878596.45
0,394,Russia,0.59,471370.47
0,395,Russia,0.51,512597.4
0,396,Australia,0.13,141928.21
0,397,UK,0.21,815427.93
0,398,SriLanka,0.92,777029.89
0,399,Australia,0.61,341743.02
0,400,Australia,0.37,354719.49
0,401,UK,0.05,772482.16
0,402,Brazil,0.97,195424.14
0,403,Brazil,0.36,709521.62
0,404,Canada,0.17,499009.65
0,405,Canada,0.33,740419.83
0,406,India,0.91,540269.52
0,407,Singapore,0.39,511177.83
0,408,Canada,0.68,699526.82
0,409,Singapore,0.77,505699.91
0,410,UK,0.46,500868.05
0,411,Singapore,0.9,854291.36
0,412,UK,0.02,666458.65
0,413,Singapore,0.17,253924.15
0,414,SriLanka,0.54,750347.94
0,415,SriLanka,0.74,778213.02
0,416,Canada,0.01,814631.93
0,417,US,0.89,642929.91
0,418,Canada,0.93,799329.08
0,419,Russia,0.43,569574.13
0,420,SriLanka,0.72,715253.59
0,421,US,0.17,233746.44
0,422,Sweden,0.35,133497.13
0,423,Australia,0.85,664767.77
0,424,SriLanka,0.45,428156.49
0,425,India,0.35,783143.52
0,426,Sweden,0.49,785443.04
0,427,Australia,0.87,295376.49
0,428,Singapore,0.93,361472.15
0,429,US,0.25,724448.74
0,430,India,0.98,888050.56
0,431,India,0.4,272837.54
0,432,Canada,0.63,663581.74
0,433,US,0.26,711519.17
0,434,SriLanka,0.53,725846.79
0,435,Canada,0.96,220977.8
0,436,US,0.08,752950.86
0,437,Singapore,0.96,232261.51
0,438,Sweden,0.82,373545.47
0,439,UK,0.67,688230.51
0,440,US,0.51,275457.72
0,441,India,0.37,593945.33
0,442,Canada,0.76,201215.39
0,443,UK,0.83,653046.27
0,444,US,0.75,581972.1
0,445,Canada,0.63,677028.78
0,446,Sweden,0.98,211525.88
0,447,Brazil,0.16,324004.82
0,448,UK,0.16,594057.94
0,449,US,0.82,749059.15
0,450,US,0.1,394425.0
0,451,Sweden,0.45,603540.22
0,452,Russia,0.21,246098.21
0,453,SriLanka,0.67,799495.13
0,454,US,0.58,215330.11
0,455,Canada,0.98,330946.02
0,456,India,0.28,157778.16
0,457,US,0.5,238272.31
0,458,US,0.83,115925.38
0,459,Russia,0.29,874041.17
0,460,UK,0.55,412358.07
0,461,Canada,0.08,522039.33
0,462,Canada,0.52,782767.64
0,463,US,0.36,388728.01
0,464,US,0.94,523864.9
0,465,Canada,0.03,994167.14
0,466,Singapore,0.39,760030.14
0,467,US,0.97,146892.04
0,468,India,0.31,203957.99
0,469,US,0.2,815920.99
0,470,Singapore,0.49,621893.24
0,471,SriLanka,0.51,811250.79
0,472,Russia,0.68,172042.95
0,473,Australia,0.83,515298.59
0,474,Russia,0.99,340939.68
0,475,Australia,0.67,869822.34
0,476,Sweden,0.01,166639.23
0,477,US,0.03,864659.22
0,478,UK,0.79,519615.36
0,479,India,0.87,547152.21
0,480,Singapore,0.73,935082.69
0,481,UK,0.39,151826.8
0,482,India,0.17,426569.98
0,483,Canada,0.76,928630.85
0,484,Brazil,0.41,189274.46
0,485,SriLanka,0.45,779849.4
0,486,Russia,0.2,122956.45
0,487,Canada,0.32,604366.13
0,488,Australia,0.96,271344.0
0,489,Russia,0.03,196097.1
0,490,US,0.07,626149.52
0,491,Canada,0.19,893731.86
0,492,Sweden,0.94,801738.17
0,493,Canada,1.0,322947.65
0,494,Australia,0.82,405958.2
0,495,US,0.59,803547.39
0,496,Brazil,0.08,746040.73
0,497,Brazil,0.08,901402.9
0,498,US,0.77,483069.83
0,499,Sweden,0.92,400048.62
0,500,SriLanka,0.76,590064.58
0,501,US,0.6,496941.3
0,502,SriLanka,0.06,249960.5
0,503,UK,0.09,341620.01
0,504,UK,0.03,899771.66
0,505,Singapore,0.68,951575.95
0,506,Russia,0.57,569506.55
0,507,India,0.2,277606.97
0,508,UK,0.54,752764.55
0,509,Singapore,0.73,777783.75
0,510,India,0.41,450376.41
0,511,US,0.41,696239.07
0,512,Australia,0.31,551194.75
0,513,SriLanka,0.65,920466.4
0,514,Canada,0.25,670376.88
0,515,India,0.01,167204.29
0,516,Brazil,0.24,614433.38
0,517,US,0.12,691341.75
0,518,Sweden,0.8,916596.8
0,519,Australia,0.61,207900.06
0,520,India,0.3,873656.46
0,521,Australia,0.29,110556.9
0,522,Russia,0.33,598724.75
0,523,Australia,0.83,334872.04
0,524,Brazil,0.99,138457.65
0,525,UK,0.45,229753.74
0,526,India,0.06,297261.72
0,527,Sweden,0.27,667517.79
0,528,US,0.21,765219.63
0,529,India,0.55,504476.44
0,530,Sweden,0.11,968197.54
0,531,Russia,0.5,955998.63
0,532,US,0.7,256364.38
0,533,Russia,0.74,727572.79
0,534,Australia,0.07,282010.46
0,535,Canada,0.44,145311.75
0,536,Russia,0.14,372664.96
0,537,SriLanka,0.45,712136.71
0,538,Sweden,0.04,472255.87
0,539,Russia,0.81,161777.14
0,540,US,0.42,722645.39
0,541,Brazil,0.62,973490.93
0,542,Canada,0.18,899037.34
0,543,Canada,0.11,489308.01
0,544,Singapore,0.18,646465.37
0,545,Sweden,0.15,498307.63
0,546,India,0.37,688153.77
0,547,Russia,0.34,730438.45
0,548,UK,0.53,791325.94
0,549,Russia,0.5,674861.12
0,550,UK,0.5,461730.78
0,551,Russia,0.14,143989.75
0,552,US,0.72,847112.89
0,553,Brazil,0.69,551735.56
0,554,India,0.05,909479.7
0,555,SriLanka,0.44,244399.88
0,556,Russia,0.16,144238.97
0,557,Australia,0.83,633771.85
0,558,Brazil,0.15,768965.72
0,559,Sweden,0.86,701417.78
0,560,SriLanka,0.11,985831.21
0,561,Brazil,0.79,706597.15
0,562,Brazil,0.63,748357.9
0,563,Singapore,0.75,183310.97
0,564,Canada,0.68,300259.44
0,565,Canada,0.11,576199.63
0,566,Russia,0.46,819766.37
0,567,Sweden,0.48,398129.98
0,568,Sweden,0.22,692095.29
0,569,SriLanka,0.56,166835.49
0,570,Singapore,0.84,397362.33
0,571,US,0.55,269821.68
0,572,UK,0.22,289185.52
0,573,India,0.67,203084.75
0,574,Canada,0.68,859543.11
0,575,Sweden,0.96,386077.31
0,576,Brazil,0.89,309750.27
0,577,Singapore,0.31,839720.07
0,578,US,0.75,532640.23
0,579,US,0.26,232153.23
0,580,Sweden,0.25,940042.25
0,581,Russia,0.88,449478.63
0,582,SriLanka,0.39,322755.96
0,583,SriLanka,0.32,604055.2
0,584,US,0.68,999537.17
0,585,Sweden,0.85,357197.51
0,586,Russia,0.57,194340.28
0,587,Canada,0.62,922178.19
0,588,Australia,0.63,247563.39
0,589,Brazil,0.58,799606.04
0,590,US,0.11,398832.84
0,591,UK,0.71,145058.68
0,592,UK,0.19,442586.69
0,593,Canada,0.69,384079.3
0,594,Brazil,0.94,933775.12
0,595,Australia,0.78,328220.7
0,596,UK,0.83,558737.0
0,597,US,0.93,928110.26
0,598,SriLanka,0.99,747002.02
0,599,Sweden,0.79,694242.26
0,600,US,0.56,381612.75
0,601,UK,0.9,839692.7
0,602,Singapore,0.02,711914.36
0,603,Russia,0.86,862318.39
0,604,Sweden,0.78,979132.24
0,605,Sweden,0.37,154926.91
0,606,Canada,0.81,252688.63
0,607,Brazil,0.65,476244.13
0,608,India,0.82,873504.32
0,609,Russia,0.13,100102.68
0,610,UK,0.9,891348.02
0,611,Sweden,0.89,747185.49
0,612,SriLanka,0.68,638633.23
0,613,Sweden,0.13,772376.43
0,614,Australia,0.13,593890.72
0,615,Singapore,0.56,491287.33
0,616,SriLanka,0.03,977088.67
0,617,US,0.77,521645.8
0,618,Russia,1.0,836647.38
0,619,Russia,0.81,786008.38
0,620,India,0.73,839081.47
0,621,UK,0.8,422092.6
0,622,Brazil,0.89,598061.97
0,623,India,0.53,860643.52
0,624,Sweden,0.16,163937.25
0,625,Singapore,0.64,731852.98
0,626,Australia,0.84,750933.08
0,627,India,0.85,231153.73
0,628,Brazil,0.82,379983.34
0,629,Sweden,0.42,191276.24
0,630,US,0.72,188417.6
0,631,SriLanka,0.8,225123.97
0,632,Brazil,0.16,800569.07
0,633,US,0.06,785310.25
0,634,Sweden,0.77,711883.15
0,635,Russia,0.39,189448.44
0,636,Sweden,0.61,522737.89
0,637,SriLanka,0.86,191372.95
0,638,SriLanka,0.36,386887.16
0,639,India,0.12,132412.02
0,640,India,1.0,576305.03
0,641,Singapore,0.76,463432.33
0,642,Russia,0.61,621466.48
0,643,Singapore,0.78,425168.08
0,644,Canada,0.46,424438.64
0,645,Singapore,0.03,454087.77
0,646,UK,0.56,267941.81
0,647,US,0.56,894436.05
0,648,Brazil,0.72,175375.64
0,649,UK,0.98,512044.77
0,650,Australia,0.56,832055.72
0,651,Brazil,0.04,810587.61
0,652,UK,0.54,606905.59
0,653,India,0.87,186556.31
0,654,Singapore,0.21,123275.66
0,655,India,0.47,463147.79
0,656,US,0.66,786088.64
0,657,Brazil,0.17,339060.84
0,658,India,0.96,251286.4
0,659,Russia,0.35,685081.38
0,660,Sweden,0.97,804960.07
0,661,Russia,0.19,647838.25
0,662,India,0.28,677115.15
0,663,Singapore,0.77,954528.62
0,664,Russia,0.2,494785.56
0,665,SriLanka,0.74,926438.13
0,666,UK,0.84,704635.38
0,667,UK,0.7,553011.76
0,668,Russia,0.64,642838.31
0,669,Russia,0.36,947804.12
0,670,Australia,0.49,794833.92
0,671,Canada,0.9,873138.71
0,672,US,0.58,994619.59
0,673,SriLanka,0.52,954402.88
0,674,Brazil,0.12,874960.67
0,675,SriLanka,0.53,359972.3
0,676,Sweden,0.18,645093.01
0,677,Singapore,0.84,661386.43
0,678,Sweden,0.57,200662.47
0,679,Sweden,0.47,442092.03
0,680,Canada,0.71,955461.63
0,681,UK,1.0,460516.04
0,682,Australia,0.49,135992.29
0,683,SriLanka,0.3,566771.65
0,684,Brazil,0.08,574408.12
0,685,Singapore,0.96,205705.13
0,686,Sweden,0.26,218217.87
0,687,Russia,0.77,232876.77
0,688,Brazil,0.79,640253.07
0,689,Canada,0.06,580228.07
0,690,Russia,0.54,661197.72
0,691,Australia,0.27,416577.07
0,692,US,0.31,874273.68
0,693,Canada,0.19,566071.1
0,694,US,0.8,223179.82
0,695,India,0.69,192312.04
0,696,SriLanka,0.17,116825.09
0,697,US,0.55,151728.9
0,698,Brazil,0.43,154790.37
0,699,US,0.05,795606.69
0,700,Australia,0.82,233028.43
0,701,Russia,0.93,628171.6
0,702,Singapore,0.44,826498.27
0,703,Australia,0.77,392115.03
0,704,UK,0.18,829663.81
0,705,Canada,0.51,304089.42
0,706,India,0.38,493156.1
0,707,US,0.4,194541.77
0,708,Sweden,0.27,481765.36
0,709,UK,0.48,415139.3
0,710,Russia,0.37,490594.01
0,711,Russia,0.82,328914.32
0,712,UK,0.76,738330.11
0,713,US,0.09,541939.0
0,714,Sweden,0.12,859505.89
0,715,SriLanka,0.54,491875.57
0,716,Sweden,0.79,352143.16
0,717,Singapore,0.79,598220.89
0,718,Russia,0.17,277137.58
0,719,Singapore,0.15,412955.16
0,720,Australia,0.55,191438.78
0,721,US,0.87,505443.18
0,722,Singapore,0.86,105759.7
0,723,SriLanka,0.54,309031.85
0,724,Russia,0.77,985882.51
0,725,SriLanka,0.12,503026.03
0,726,Sweden,0.05,992730.71
0,727,Sweden,0.15,588899.91
0,728,Canada,0.53,880242.34
0,729,Brazil,0.72,483160.56
0,730,SriLanka,0.58,479298.9
0,731,India,0.67,641297.62
0,732,Singapore,0.7,803205.49
0,733,Brazil,0.75,225016.6
0,734,Canada,0.6,738759.03
0,735,UK,0.22,599681.52
0,736,UK,0.75,871135.29
0,737,Canada,0.6,404251.11
0,738,Brazil,0.19,494948.96
0,739,Sweden,0.81,105411.75
0,740,UK,0.47,237114.67
0,741,Brazil,0.94,878370.07
0,742,Singapore,0.91,765794.98
0,743,Singapore,0.31,442690.6
0,744,SriLanka,0.5,767040.28
0,745,Russia,0.99,946204.51
0,746,Singapore,0.42,183044.29
0,747,Russia,0.52,661275.43
0,748,UK,0.93,247793.72
0,749,SriLanka,0.84,769384.35
0,750,UK,0.52,358069.12
0,751,UK,0.45,892593.64
0,752,Russia,0.13,330970.86
0,753,Singapore,0.82,733757.04
0,754,Australia,0.7,514618.37
0,755,Sweden,0.61,112693.06
0,756,SriLanka,0.36,481708.58
0,757,SriLanka,0.54,581200.37
0,758,Sweden,0.79,651761.11
0,759,Canada,0.57,442590.72
0,760,SriLanka,0.09,876604.28
0,761,UK,0.49,220754.87
0,762,Singapore,0.48,726183.23
0,763,Australia,0.55,441509.47
0,764,UK,0.96,705446.11
0,765,Sweden,0.59,383823.75
0,766,Sweden,0.93,281721.58
0,767,Sweden,0.51,757738.13
0,768,Brazil,0.53,288704.95
0,769,Canada,0.5,325094.73
0,770,Australia,0.07,450693.83
0,771,SriLanka,0.2,169070.33
0,772,Russia,0.38,475430.79
0,773,SriLanka,0.5,227136.83
0,774,India,0.17,781324.47
0,775,Sweden,0.38,292066.21
0,776,US,0.7,308184.81
0,777,US,0.0,567750.71
0,778,US,0.35,162492.87
0,779,SriLanka,0.91,272263.07
0,780,UK,0.72,742432.28
0,781,Brazil,0.43,782736.06
0,782,Australia,0.45,319408.31
0,783,Sweden,0.18,648413.87
0,784,India,0.87,557977.75
0,785,Russia,0.0,175810.55
0,786,Brazil,0.83,275000.75
0,787,Russia,0.44,635202.01
0,788,Sweden,0.99,158235.98
0,789,Singapore,0.32,122629.29
0,790,SriLanka,0.36,639139.46
0,791,Brazil,0.14,614611.27
0,792,SriLanka,0.97,584121.0
0,793,SriLanka,0.17,647164.15
0,794,Russia,0.1,750225.17
0,795,Sweden,0.48,276945.74
0,796,Russia,0.45,820918.71
0,797,Singapore,0.22,166513.79
0,798,Sweden,0.83,474139.91
0,799,Brazil,0.44,904326.7
0,800,SriLanka,0.2,803809.66
0,801,Australia,0.14,817429.19
0,802,Sweden,0.92,725681.97
0,803,Singapore,0.84,342858.66
0,804,Canada,0.53,474914.94
0,805,UK,0.59,996296.65
0,806,Australia,0.44,166840.05
0,807,US,0.46,483128.28
0,808,US,0.17,875731.92
0,809,Singapore,0.26,516484.02
0,810,UK,0.3,293449.77
0,811,Sweden,0.23,751926.41
0,812,UK,0.19,280776.85
0,813,SriLanka,0.4,212623.63
0,814,SriLanka,0.02,615860.63
0,815,Australia,0.17,567484.52
0,816,Brazil,0.88,941573.99
0,817,India,0.68,469823.08
0,818,Russia,0.69,247272.38
0,819,Brazil,0.41,934776.32
0,820,Canada,0.84,869834.75
0,821,Australia,0.25,843361.52
